lon_25_75,lat_25_75,ID_HDC_G0,GCPNT_LAT,GCPNT_LON,XC_NM_LST,XC_ISO_LST,GRGN_L1,GRGN_L2,UC_NM_MN,UC_NM_LST,P15,urban_center_count
129.25,35.25,12679,35.34464482,129.027315,South Korea,KOR,Asia,Eastern Asia,Yangsan,Yangsan,171032.3834,3
129.25,35.25,12683,35.39731218,129.160218,South Korea,KOR,Asia,Eastern Asia,웅상,웅상,64493.36877000001,3
129.25,40.75,12304,40.69074064,129.20410619999998,North Korea,PRK,Asia,Eastern Asia,Kimch'aek,Kimch'aek,195610.8162,2
129.25,40.75,12283,40.95713227,129.3187486,North Korea,PRK,Asia,Eastern Asia,Sinpyong,Sinpyong,108884.6013,2
137.25,34.75,12949,34.76239328,137.36667769999997,Japan,JPN,Asia,Eastern Asia,Toyohashi,Toyohashi; Toyokawa,442668.8691,2
137.25,34.75,12944,34.8133975,137.21913769999998,Japan,JPN,Asia,Eastern Asia,Gamagori,Gamagori,65769.20926,2
137.75,-3.75,13055,-3.548934399,137.56772780000003,Indonesia,IDN,Asia,South-Eastern Asia,Mebut,Mebut,97053.36328,3
137.75,-3.75,13057,-3.701099494,137.96564809999998,Indonesia,IDN,Asia,South-Eastern Asia,Mulia,Mulia,62820.625,3
137.75,-3.75,13056,-3.976317404,137.64334209999998,Indonesia,IDN,Asia,South-Eastern Asia,Ilaga,Ilaga,60418.14844,3
138.75,35.75,12956,35.63739386,138.53687309999998,Japan,JPN,Asia,Eastern Asia,Kai [Kofu],Kai; Minami-Alps; Fuefuki; Chuo; Kofu,390244.4334,1
